Restaurant name	Reviewer’s name	Review text
J Wata Temaki Bar	S L.	Went again recently with a friend.  Wow just as amazing as last time. Waiter was on point! Fast, friendly and even let us know about the happy hour ending soon. We ordered about $70 worth of food/drink and had a really good time.  Pleas be advised that good sushi takes time, there is one chef and each roll is made by hand. When there is a full house, it may take awhile to receive your orders.  Chef was awesome, very friendly and everything tasted fresh and wonderful.  Wagyu: A MUST! So tender and amazingly flavorful.  Salmon: good but tuna was better.  Negi Toro (tuna belly): I usually don't like tuna rolls, but this was really good!  Salmon skin: nice and crunchy. Not my thing, but friend liked it.  Shrimp tempura roll: good, nice kick.  Spicy tempura app: A MUST! I could just eat bowls of this. So good. Shrimp were big and plump. Sauce was spicy and really good.  Unagi (Eel) roll: really good, nice big piece of eel. Highly recommend.  Sweet sake was good but very strong almost 15% alcohol. Pretty big bottle for one person, $11.  Parking is really tough in this lot. I recommend parking at the Jasmine lot and paying $2 for two hours of parking. Very short walk across the street and beats the stress of finding parking.	
J Wata Temaki Bar	Stephanie W.	Overall: 3.5 stars  Food: great Ambiance: great Service: good  Ordered the \"Go\" set menu and really loved the Negi salmon and the Hamachi golden-ratio tare the most. The quality of the fish on those two were amazing. The others were good but these two truly shined.  Typically, I usually am a huge fan of nigiri so this style is much different since they only serve hand rolls. This consists of mostly rice which is incredibly filling. For the price, I do feel like I'd rather go somewhere I could get more bang for my buck. As far as service, the bar is manned by one chef who bounces back and forth between the different parties and serves them a few hand rolls at a time. A server also helps out by getting drink orders and also any food from the kitchen. This also leads to getting super full fast since there is a lot of down time in between hand rolls. Overall, this place is great and very different from other places in the area. However, I can't really see myself coming back again.	
J Wata Temaki Bar	Melissa B.	I do like the smaller sized restaurant and at bar seating as well as the focus on hand rolls, but nothing excited me enough to want a second trip. We arrived at happy hour and enjoyed discounts on rolls and rock shrimp. The rock shrimp portions were very small and similar dishes I've had toss the shrimp in the sauce for more coverage, which I prefer. These were tasty but lacking sauce. The crunchy exterior of the roll is nice, right off of the heating element they use when making them.   Service was underwhelming. The hard wood chairs with no padding or comfort had me squirming and eager to leave. I had hoped to enjoy myself more, but this was a one hit wonder for me.	
J Wata Temaki Bar	Anthony E.	This place was cool!  I thought I was going to meet J Wata the man, the myth, the legend since his business photos were shown here on Yelp but one can only imagine, right?  Instead, we were hosted by a couple of cool Chefs working that night which we had great conversations with and giving us a little introduction of each dish we were about to partake on.  The restaurant is decorated with familiar Anime drawings from past movie cult classics if you're into that sort of thing.  The food was delicious and goes great with some of their premium cold sake collection too.	
J Wata Temaki Bar	Brittany R.	Over due review. My apologies! 8/18.  I made reservations here specifically because my girlfriend and I LOVE sugar fish. But due to the fact we live in San Diego and it's a crazy drive I wanted to find something a bit similar but more convenient. Thanks to Yelp, I found this little gem.   I made lunch reservations here for my gfs early birthday and I'm so glad I did. It's located in the busy plaza where RakiRaki, Tofu house, Crab hut \u0026 Tapioca express are smashed so closely together.   PARKING: It's always a b*tch finding a spot that can accommodate your car (spots are super small \u0026 cramped) or it's just traffic jam central fighting for a spot lmao. But, magically we got lucky.   DECOR/AMBIENCE/CLEANLINESS: It's small, but I think that's the point of it all. Reservations, close knit, personal service. The walls are covered with anime-esque drawings and modernize accents. Very pretty! The bathrooms were very clean and had all refilled supplies. Great job!   THE FOOD: You order your Temaki for ONE person, ONE at a time. It's best eaten fresh because the Nori is hand roasted in front of you and the rice is a bit warm. I personally like the time intervals in between bites, makes you appreciate each piece of food individually. Happy hour starts from 3-5pm as well.   HH Premium Wagyu Shabu Temaki (ordered x2) Unfortunately it's 1 per person during HH but these were super yummy. The crunchy nori set me over the top! Delicious. I'm happy we started off with these.   HH Negi Toro Temaki (ordered x2) These had to be my absolute favorite out of them all. The toro was fresh and not fishy. Butter melt in your mouth feels. Im probably going to keep talking about the roasted nori....it just adds a little somethin special with each bite. *miss it already D: *  THE \"GO\" Temaki (ordered x2, not allowed to share) Instead of ordering \u00c0 la carte, you can order a set menu (it's cheaper in some ways) and helpful if you need assistance in ordering.   Negi Salmon: Fresh \u0026 Buttery, not fishy!  Spicy Tuna: Just the right amount of spicy to tuna ratio. Easily eaten! (Our server also gave us and extra one! Thank you!)   Hamachi Golden Tare:  Not my favorite, but the fish was very smooth going down. My girlfriend really liked this one.   Bay Scallop:  I think it also had some fish roe mixed in, so it had a soft yet crunchy texture. Mayo was also added and it was a bit too much for me. My gf made me finish hers smh.  Maine Lobster:  Delicious, not too much of a sauce or seasoning on this because they really want you to taste the seafood. It wasn't dried out, perfectly cooked and balanced out with the warm rice.   SERVICE:  I'm really horrendous with remembering names, but we had a guy serve/prepare our rolls. He was very attentive, friendly and made good conversation.   I roughly spent less than $55, and overall I think the food, price and service was worth it. My girlfriend and I were very satisfied. I recommend coming during lunch/HH because you'll beat the dinner rush in the plaza, also come HUNGRY! You'll be eating a lot of rice :)	
J Wata Temaki Bar	Anna B.	It's a temaki/hand roll restaurant and the chefs just hand you each temaki one by one! I went for happy hour from 3-5pm over the weekend and there were amazing deals with a great variety. All the seating is high tables surrounding where the chefs make the food so it is really fun watching most of the food get made.   Alberto was the main chef making our rolls and he was extremely personable. He kept up a fun conversation with us, and really made us enjoy our meal. Paola was a fabulous waitress as well, she was very attentive and always made sure our orders were sent in when needed.   The restaurant is clean, there is fun music being played that isn't too loud, beautiful artwork surrounding the walls, and delicious food. The menu is obviously larger during regular lunch and dinner hours so I am excited to check it out then!   Parking is pretty packed because of all of the popular business, so be open to using street parking if necessary.	
J Wata Temaki Bar	Jenn C.	Another solid Japanese restaurant on Convoy! We dropped by today with reservations via Yelp. It was pretty crowded around 6 pm. The restaurant is small and not great for groups larger than three, but because it's all counter-style seating a group larger than that wouldn't be able to easily chat with each other anyway. We ordered the \"Go\" set of five hand rolls - salmon, lobster, scallop, yellowtail, and tuna for $21. We agreed that the salmon, lobster, and scallop were best and weren't fans of the other two. Next time I'll order a la carte.  Minus one star because of spotty service and because it's located in that one shopping plaza with the worst (IMO) parking (the one with Crab Hut and TapEx).  For parents, they do have high chairs but because the counters are so tall the baby would be much lower than you'd want.	
J Wata Temaki Bar	Martha W.	I came here again because my husband really likes it. He likes the toasted seaweed for the rolls. Myself I am not a fan of seaweed, so I ordered the popcorn shrimp appetizer. It seemed like the guy practically threw it at me when he placed it on the ledge. It felt unfriendly to me. I dunno maybe I am just in a bad mood.?Still not going to increase the rating.	
J Wata Temaki Bar	Conner S.	Came in here for happy hour the other day and I was thoroughly impressed! Sushi isn't the cheapest of meals, so I think their food is fairly priced on the regular menu - but the happy hour was a BARGAIN! They had temaki handrolls from $2-$4 and beers were $1.99! My girlfriend and I came here, we ate a ton and we only spent like $40 including tip!  Now it's one thing to get a good deal - but is the quality and selection worth it? Absolutely! I primarily stuck with the negi-toro (minced tuna) and negi-salmon (minced salmon) but we did order a few others as well and they were all delicious. The rolls are served one by one, and you take them directly from the sushi chef's hand and right into your mouth.   To add to our great experience, the service was top notch! Since the restaurant was a little quieter while we were there, we got to engage in conversation with our sushi chef and that just added to our five star experience.  Give this place a shot!	
J Wata Temaki Bar	Anna L.	I am a fan of J Wata Temaki Bar!  I was here for dinner one night and came back the next day for lunch with some coworkers.  When empty, the overall experience was wonderful.  We got a chance to talk to the chef and inquire more about the rolls.  When busy, it's a little tougher.  The place is small, and like any place, it can be understaffed sometimes.  We waited 30+ minutes for our check so that was a little rough.  Onto the good -- the hand rolls!  They have predefined sets for lunch and dinner.  During lunch, there are some lunch specials which are nice.  I need 3 hand rolls to feel full, and it is nice to try the different ones available.  My favorites are the blue crab, salmon, and some of the vegetarian rolls.  If you're ordering anything to go, I do recommend just placing the order at the beginning of your meal depending on how busy the restaurant is.    While there, I noticed that there were many people who did not remember what they ordered.  Or the chef makes a handroll and hands it to someone, and they're like \"I didn't order this.\"  There seems to be a need for a system to keep track of the rolls where both the customer and chef know exactly what is meant to be made.  I would hate to see rolls wasted just because it wasn't something someone ordered or wanted.	
J Wata Temaki Bar	Kaylah M.	This place is absolutely amazing. The fish is just so fresh. Quality is hard to find ok convoy when it comes to sushi. The temaki style is great! It allows you to try so many different items before you get full.   This place is a must try	
J Wata Temaki Bar	Money S.	This was my first time at a temaki bar and I really enjoyed it!  We had a group of 5 and we were lucky one side of the restaurant was empty when we arrived (bar style seating).   We each ordered the Go (5) Temaki and a few other items.  Each hand roll was delicious but I especially loved the Spicy tuna, Bay scallop, and Maine lobster. The meal started out with some hot and delicious miso soup, it's probably the tastiest miso soup I've had. I also ordered iced green tea, which wasn't very strong and didn't have enough ice either. It tasted like slightly cold water with a hint of green tea...  I love how the rolls come out one at a time so you always have something to look forward to, without having a bunch food sitting in front of you.  There were only two cons during our visit. The first was the bathroom sink wasn't working so we had to walk next door to Tapioca Express to wash our hands.   The second was that some in our group ordered some happy hour items (it was about 10 mins before happy hour started). The items didn't come out until well after happy hour started, but when the bill came they wouldn't honor the happy hour prices. We understood that they ordered before happy hour (only 10 minutes), but we thought it would've been nice if they had honored the happy hour price. It's not like we ordered only HH items. We ordered several items on the regular menu and two bottles of sake as well. It was only a few bucks difference, but that's the type of thing that leaves a bad impression.   Besides those two hiccups, we had a great lunch.	
J Wata Temaki Bar	Christine L.	This was my first time eating at this establishment, and I was very excited to try it as I am a huge sushi fanatic. The food did not disappoint! Me and my hubby ordered both the shi and go set menu.   Our favorites of the night were the negi yellowtail, hamachi golden ratio, bay scallop, and maine lobster. Everything was so fresh and mouth watering, I would say the blue crab and bay scallop had a touch too much mayonnaise but besides that, superb.    The service was also wonderful. The waitress was attentive and the sushi chef was friendly and funny. The GM Philip was also very kind and accommodating over the phone.  Our overall experience was amazing, and it made my birthday celebration wonderful. We are looking forward to dining at J/wata again(:	
J Wata Temaki Bar	Valerie M.	Wow, toasted seaweed handrolls that are traditional (small) that you eat as handed to you. They also have sashimi. Fresh scallops, and fish. They have different options of how many you can order, like 4 HR's , they serve you miso soup too. Ask for little rice. Makes a huge difference. They also have sakes. The center this place is in has a small parking lot and always extremely hard to park in but the place is fantastic. Must try.	
J Wata Temaki Bar	Jessica D.	What I ordered: lunch special with one non premium (Negi salmon) handroll + a wagyu handroll + miso soup + salad ($10.95)  Taste: portion was good for lunch, the two dishes I got didn't really have sauce so if you like a simple flavor of the fish/meat this is good for you   Service: great service, very friendly  Parking: small lot (really hard lot to park in) park in street	
J Wata Temaki Bar	Kristine D.	I love this place! Their hand rolls are delicious and made right in front of you. It's a pretty small spot so if you know ahead of time that you wanna eat here, I definitely suggest that you make a reservation. It's inside the business area of Tapioca Express, RakiRaki, and O'Briens. It's a VERY busy and tiny parking lot.   Here, you can order a set of 3, 4, and 5 temaki (hand rolls) and it's a set menu. They're small but filling, and you're not allowed to share. But why would you wanna share it's so gooood. They have vegetarian options, and a la carte as well. My bf and I both ordered 4 hand rolls, and some off the a la carte menu. The nori is toasted, and hand rolls are made right in front of you. The fish tasted really fresh, my bf had the wagyu and said it was delicioussss  Staff here is really nice. They try to pay attention and interact with each customer. It's basically one big table with the chefs inside, and the seats are formed in a U shape. The art on the wall is pretty neat too! I definitely would come back again	
